	accession_number	organism_name	path
3743	KY649437	Ahniella affigens	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Ahniella
3744	KX585442	Pseudolysobacter antarcticus	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Pseudolysobacter
3745	EU741687	Rudaea cellulosilytica	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Rudaea
3746	U89298	Methylocaldum gracile	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylocaldum
3747	AB894129	Methylocaldum marinum	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylocaldum
3748	U89297	Methylocaldum tepidum	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylocaldum
3749	U89300	Methylocaldum szegediense	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylocaldum
3750	AB669155	Methylomagnum ishizawai	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomagnum
3751	HF558990	Methyloparacoccus murrellii	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloparacoccus
3752	AJ563935	Methylococcus capsulatus	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylococcus
3753	MN726710	Methylococcus geothermalis	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylococcus
3754	JYNS01000000	Methyloterricola oryzae	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloterricola
3755	EU672873	Methylogaea oryzae	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylogaea
3756	KT159732	Inmirania thermothiophila	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Inmirania
3757	DQ469576	Thiohalospira halophila	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiohalospira
3758	CP014671	Immundisolibacter cernigliae	Bacteria;Pseudomonadota;Gammaproteobacteria;Immundisolibacterales;Immundisolibacteraceae;Immundisolibacter
3759	AF329083	Thioalkalivibrio jannaschii	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
3760	FR749906	Thioalkalivibrio versutus	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
3761	AF126547	Thioalkalivibrio nitratis	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
3762	ARQK01000032	Thioalkalivibrio thiocyanoxidans	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
3763	AY346464	Thioalkalivibrio halophilus	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
3764	CP003989	Thioalkalivibrio nitratireducens	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
3765	AF151432	Thioalkalivibrio paradoxus	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
3766	AF126545	Thioalkalivibrio denitrificans	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
3767	AY360060	Thioalkalivibrio thiocyanodenitrificans	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
3768	EU709878	Thioalkalivibrio sulfidiphilus	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
3769	X93476	Ectothiorhodospira marina	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira
3770	AM943121	Ectothiorhodospira variabilis	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira
3771	X93479	Ectothiorhodospira haloalkaliphila	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira
3772	X93481	Ectothiorhodospira mobilis	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira
3773	FM244738	Ectothiorhodospira salini	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira
3774	HM149323	Ectothiorhodospira magna	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira
