gtdb_taxonomy	ncbi_organism_name
"d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaera sp002501845"	Nitrososphaera sp. UBA240
"d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp002499445"	Methanosarcina sp. UBA392
"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__UBA412;s__UBA412 sp002495685"	Methanobrevibacter sp. UBA395
"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__UBA412;s__UBA412 sp002495685"	Methanobrevibacter sp. UBA325
"d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp002499445"	Methanosarcina sp. UBA342
"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__UBA412;s__UBA412 sp002495685"	Methanobrevibacter sp. UBA313
"d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR9;g__PCXY01;s__PCXY01 sp002762785"	Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_45_16
"d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA12501;g__1-14-0-10-44-13;s__1-14-0-10-44-13 sp002762985"	Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_44_13
"d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__PEZQ01;f__PEZQ01;g__PEZQ01;s__PEZQ01 sp002763265"	archaeon CG10_big_fil_rev_8_21_14_0_10_43_11
"d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__CG10238-14;g__CG10238-14;s__CG10238-14 sp002789635"	Candidatus Aenigmarchaeota archaeon CG_4_8_14_3_um_filter_37_24
"d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__CG1-02-35-32;s__CG1-02-35-32 sp002792635"	Candidatus Pacearchaeota archaeon CG_4_10_14_0_2_um_filter_35_33
"d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG08-08-20-14;g__CG08-08-20-14;s__CG08-08-20-14 sp002762705"	Candidatus Woesearchaeota archaeon CG08_land_8_20_14_0_20_43_7
"d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__SMTZ1-45 sp002825515"	Candidatus Thorarchaeota archaeon MP11T_1
"d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Infirmifilum;s__Infirmifilum sp002855745"	Thermofilum sp. NZ13
"d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Natronomonas;s__Natronomonas sp003020965"	Halobacteriales archaeon QS_4_69_225
"d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp003023405"	Halobacteriales archaeon SW_8_68_21
